Code CD Title                                         Category             Size

   1 Music Workshop                                   Music                 456
   2 Music Magic                                      Music                  22
   3 50 No.1 MIDI Hits                                Music                   9
   4 MIDI Renderer                                    Music                 206
   5 Turtle Beach Demo Disc                           Music                   0
   6 Atari Mega Archive Volume 1                      Atari                 636
   7 MIDI Music Shop Professional                     Music                  18
   8 Atari Public Domain & Shareware Vol.2            Atari                 265
   9 Atari Public Domain & Shareware Vol.1            Atari                 247
  10 Welcome to PC Sound, Music & MIDI                Music                  46
  11 Music Magic Songbook                             Music                  19
  12 Music Mentor                                     Music                   5
  13 Sound Explorer                                   Music                  12
  14 Key Sound Sensations                             Music                  19
  15 Psion Shareware CD Vol.1 & 2                     Utilities              80
  16 Music Box 1994                                   Music                 125
  17 Music Toolbox                                    Music                 153
  18 Body Works Ver.4 & Various                       Miscelaneous          681
  19 Music from Heaven                                Music                  35
  20 Sound Sensations                                 Music                 272
  21 Encyclopedia of Sound Vol.2                      Music                 574
  22 Romware Sounds                                   Music                  42
  23 Audio Resource Library                           Music                 517
  24 Dr. Music Lab                                    Music                 227
  25 Multimedia Audio Collection                      Music                 273
  26 Trivia Worx & Various                            Miscelaneous          669
  27 80 Shareware Mega Hitis                          Utilities              71
  28 Media Interactive Data CD Vol.7 (AVI - MOV)      Video                 599
  29 The Sounblaster Multimedia Experience Vol.I      Music                 454
  30 The Sounblaster Multimedia Experience Vol.II     Music                 195
  31 Sound Modules                                    Music                 103
  32 Family Fun                                       Music                  16
  33 Sound CD ROM                                     Music                  78
  34 MIDI & Wave Workshop                             Music                 171
  35 Sound Library Vol.II                             Music                 341
  36 Audio Plus                                       Music                 549
  37 Vid Grid                                         Game                    2
  38 Fractunes                                        Music                  25
  39 PC Karaoke Vol.3041                              Music                  11
  40 The Best of MIDI Connection Vol.1                Music                   5
  41 The Best of MIDI Connection Vol.2                Music                  16
  42 Media Interactive Data CD Vol.6 (Pictures - TTF) Graphics & Fonts      665
  43 Media Interactive Data CD Vol.5 (WAV)            Music                 675
  44 World of Sound                                   Music                 611
  45 CD Power Pak Sound Clips & Utilities (2 CD)      Music                1058
  46 Sound Factory I                                  Music                 502
  47 Dr. Music                                        Music                 310
  48 Media Interactive Data CD Vol.4 (WAV - MOD)      Music                 650
  49 Media Interactive Data CD Vol.3 (FLC - FLI)      Animation             677
  50 Ton und MIDI Studio                              Music                 238
  51 Travel in Greece 1995-1996                       Reference             407
  52 Sing Along Kids Vol.3                            Children               23
  53 An Introduction to Classical Music               Music                 460
  54 Sounds of Multimedia                             Music                 236
  55 Mad Dog Mc Cree                                  Game                  197
  56 Soundware Collection                             Music                 554
  57 Dr. Ruth's Encyclopedia                          Reference             572
  58 MIDI Master Collection Vol.1-5                   Music                 314
  59 Sound MOD Vol.1                                  Music                 665
  60 Encyclopedia of Sound Vol.1                      Music                 576
  61 3D Animania                                      Graphics              235
  62 Graphics 1                                       Graphics              642
  63 Windows Media Library                            Utilities             373
  64 Mega Media I                                     Media                 537
  65 Mega Media II                                    Media                 424
  66 Digital Cinema                                   Graphics              651
  67 Sights & Sounds                                  Graphics               71
  68 Mediasource : General Topic Library Vol.2        Graphics               71
  69 Icons Wallpapers & More                          Media                 255
  70 Multimedia Mania                                 Utilities             255
  71 Danger Hot Stuff                                 Graphics              571
  72 Font Fun House                                   Fonts                  21
  73 Mega Clip II                                     Graphics              224
  74 Computer Animator's News                         Graphics              295
  75 Multimedia Magic                                 Utilities              55
  76 Key Clip Art                                     Graphics              377
  77 Key Fonts Plus                                   Fonts                  14
  78 Animation Festival                               Graphics              618
  79 Media Interactive Data CD Vol.1                  Media                 536
  80 Media Interactive Data CD Vol.2                  Media                 599
  81 Relaxation with Music & Nature (Flowers)         Miscellaneous          84
  82 Media Clips : Batik Designs                      Graphics              256
  83 Media Clips : Business Backgrounds               Graphics              263
  84 Media Clips : Full Bloom                         Graphics              297
  85 Media Clips : Jets                               Graphics              259
  86 Media Clips : Majestic Places                    Graphics              243
  87 Media Clips : Money Money Money                  Graphics              280
  88 Media Clips : Props                              Graphics              261
  89 Media Clips : Vintage Aloha                      Graphics              250
  90 Media Clips : Wild Places                        Graphics              251
  91 Media Clips : World View                         Graphics              309
  92 GIF's Galore                                     Graphics              614
  93 Hot Sound & Vision                               Utilities             640
  94 Fantazia Fonts & Sounds                          Media                 463
  95 2000 Fonts                                       Fonts                 337
  96 Corel Artshow '91                                Media                 626
  97 Virtual Worlds                                   Graphics              352
  98 Multimedia Madness Deluxe Edition CD 1           Media                 677
  99 Multimedia Jumpstart Ver.1.1a                    Miscellaneous         433
 100 Arts & Letters Warbirds                          Application           539
 101 Morphology 101                                   Graphics              242
 102 The Naked Truth & Killer Animations              Miscellaneous         502
 103 Clip Art Library                                 Graphics              179
 104 A Taste of Erotica                               Adult                 142
 105 Virtual Vibrations                               Adult                 274
 106 Physical Therapy Vol.3                           Adult                 614
 107 Private Pictures I                               Adult                 136
 108 The Fao CD ROM Disc Vol.2                        Adult                 700
 109 Graphics & Sound Explorer                        Utilities              12
 110 Multimedia Resource Library                      Utilities             592
 111 Multimedia Platinum                              Utilities             675
 112 Publisher Platinum                               Utilities             197
 113 Dr. Windows                                      Utilities             494
 114 Win Platinum                                     Utilities             148
 115 Mega CD ROM 2                                    Utilities             689
 116 Gold Medal Software Vol.1                        Utilities             438
 117 Gold Medal Software Vol.2                        Utilities             495
 118 Education Platinum                               Utilities             176
 119 Greek Power Vol.1                                Miscellaneous         608
 120 CD Week 36 & 37                                  Applications          631
 121 Media Interactive Program CD Vol.1               Applications          648
 122 Media Interactive Program CD Vol.2               Applications          523
 123 Media Interactive Program CD Vol.3               Applications          547
 124 Media Interactive Compilation CD Vol.1           Miscellaneous         622
 125 Corel Lex Ver.2.0                                Reference              50
 126 14000 Programmes                                 Utilities             668
 127 Windoware                                        Utilities             410
 128 CICA Windows (2 CD's)                            Utilities            1250
 129 Shareware Supreme                                Utilities             706
 130 World of Shareware (3 CD's)                      Utilities            1727
 131 Shareware Overload Trio Vol.1                    Utilities             521
 132 Shareware Overload Trio Vol.2                    Utilities             284
 133 Shareware Overload Trio Vol.3                    Utilities             229
 134 The Silver Collection Vol.1                      Utilities             437
 135 The Silver Collection Vol.2                      Miscellaneous         611
 136 The Silver Collection Vol.3                      Utilities             414
 137 The Silver Collection Vol.4                      Utilities             442
 138 Multimedia Mate                                  Utilities             291
 139 Windows Mate                                     Utilities             216
 140 Red Hot Shareware Disc 1                         Utilities             530
 141 Red Hot Shareware Disc 2                         Utilities             419
 142 Red Hot Shareware Disc 3                         Utilities             518
 143 High Voltage Shareware Disc 1                    Utilities             516
 144 High Voltage Shareware Disc 2                    Utilities             530
 145 High Voltage Shareware Disc 3                    Utilities             419
 146 High Voltage Shareware Disc 4                    Utilities             518
 147 Software Vault : The Windows Collection          Utilities             275
 148 Software Vault : The Games Collection            Games                 162
 149 Dr. Games for Windows                            Games                  44
 150 Games Platinum                                   Games                  75
 151 Windows Power Games                              Games                  26
 152 Games FX Vol.1                                   Games                 194
 153 Game Empire                                      Games                 217
 154 Klik 'n' Play                                    Application            70
 155 Video Cube game                                  Game                  376
 156 Music Game Interactive                           Game                  496
 157 Battlechess                                      Game                   77
 158 Cover Girl Strip Poker                           Game                  131
 159 Sherlock Holmes Consultant Detective             Game                  466
 160 Multimedia Madness Deluxe Edition CD 2           Media                 650
 161 Nautilus Intro                                   Magazine              268
 162 Nautilus CD Jun. '94 Vol.4-6                     Magazine              306
 163 Nautilus CD Nov. '94 Vol.4-11                    Magazine              279
 164 Nautilus CD Dec. '94 Vol.4-12                    Magazine              409
 165 Nautilus Backpac Vol.2 Issue 07                  Magazine              264
 166 Nautilus Backpac Vol.2 Issue 08                  Magazine              298
 167 Nautilus Backpac Vol.2 Issue 09                  Magazine              241
 168 Nautilus Backpac Vol.2 Issue 10                  Magazine              302
 169 Nautilus Backpac Vol.2 Issue 11                  Magazine              245
 170 Nautilus Backpac Vol.2 Issue 12                  Magazine              378
 171 Computer Life Superpak                           Miscellaneous         323
 172 A Guide to Multimedia                            Media                 234
 173 Micro Home Library                               Miscellaneous          24
